name 	height 	weight
Roman Reigns 	6’3″ 	265 lbs.
Ronda Rousey 	5’7″ 	135 lbs.
Ronnie Garvin 	5’8″ 	242 lbs.
Rosa Mendes 	5’9″ 	131 lbs.
Rosemary 	5’7″ 	150 lbs.
Ruby Riot 	5’4″ 	122 lbs.
Rusev 	6’0″ 	305 lbs.
Ryan Shamrock 	5’6″ 	105 lbs.
Ryback 	6’3″ 	296 lbs.
Sable 	5’6″ 	127 lbs.
Sabu 	6’0″ 	222 lbs.
Sadie Gibbs 	5’6″ 	158 lbs.
Salvatore Sincere 	6’3″ 	250 lbs.
Sam Gradwell 	6’1″ 	212 lbs.
Sami Zayn 	6’1″ 	205 lbs.
Samir Singh 	5’10” 	144 lbs.
Sammy Guevara 	5’10” 	180 lbs.
Samoa Joe 	6’2″ 	280 lbs.
Sandman, The 	6’2″ 	240 lbs.
Santino Marella 	5’10” 	227 lbs.
Sapphire 	5’2″ 	155 lbs.
Sara Del Rey 	5’9″ 	150 lbs.
Sarah Logan 	5’6″ 	129 lbs.
Sasha Banks 	5’5″ 	114 lbs.
Savio Vega 	5’10” 	256 lbs.
Sawyer Fulton 	6’8″ 	285 lbs.
Scorpio 	5’11” 	235 lbs.
Scorpio Sky 	5’10” 	205 lbs.
Scott Dawson 	5’10” 	224 lbs.
Scott Hall 	6’7″ 	287 lbs.
Scott Norton 	6’3″ 	340 lbs.
Scott Steiner 	6’1″ 	276 lbs.
Scotty Too Hotty 	5’9″ 	209 lbs.
Sean O’Haire 	6’6″ 	270 lbs.
Seth Rollins 	6’1″ 	217 lbs.
Sgt. Slaughter 	6’3″ 	310 lbs.
Shane Douglas 	6’1″ 	249 lbs.
Shane McMahon 	6’2″ 	238 lbs.
Shane Thorne 	6’1″ 	220 lbs.
Shannon Moore 	5’8″ 	175 lbs.
Shao Funaki 	5’7″ 	180 lbs.
Shawn Michaels 	6’1″ 	225 lbs.
Shawn Spears / Tye Dillinger 	6’3″ 	223 lbs.
Shayna Baszler 	5’7″ 	135 lbs.
Sheamus 	6’6″ 	272 lbs.
Sherri Martel 	5’7″ 	132 lbs.
Shinsuke Nakamura 	6’2″ 	229 lbs.
Sid Vicious 	6’9″ 	313 lbs.
Simon Gotch 	6’1″ 	221 lbs.
Sin Cara 	5’7″ 	175 lbs.
Skip Sheffield 	6’2″ 	283 lbs.
Sky Low Low 	3’6″ 	86 lbs.
Sonjay Dutt 	5’8″ 	194 lbs.
Sonny Kiss 	5’8″ 	185 lbs.
Sonya Deville 	5’7″ 	130 lbs.
Spike Dudley 	5’7″ 	150 lbs.
Stacy Keibler 	5’11” 	136 lbs.
Stacy “Kat” Carter 	5’4″ 	106 lbs.
Stephanie McMahon 	5’9″ 	135 lbs.
Steve Blackman 	6’2″ 	246 lbs.
Steve Corino 	6’3″ 	242 lbs.
Steven Dunn 	5’10” 	240 lbs.
Stevie Ray 	6’5″ 	292 lbs.
Stevie Richards 	6’2″ 	220 lbs.
Sting 	6’2″ 	250 lbs.
Stone Cold Steve Austin 	6’2″ 	252 lbs.
Sultan, The 	6’2″ 	260 lbs.
Summer Rae 	5’10” 	118 lbs.
Sunil Singh 	5’10” 	159 lbs.
Sunny 	5’4″ 	118 lbs.
Super Crazy 	5’8″ 	210 lbs.
T.J. Perkins 	5’10” 	167 lbs.
T.L. Hopper 	6’1″ 	235 lbs.
Tajiri 	5’7″ 	180 lbs.
Taka Michinoku 	5’8″ 	187 lbs.
Tamina Snuka 	5’9″ 	150 lbs.
Tatanka 	6’1″ 	250 lbs.
Taynara Conti 	5’6″ 	126 lbs.
Taz 	5’9″ 	240 lbs.
Ted DiBiase, Jr. 	6’3″ 	235 lbs.
Ted DiBiase, Sr. 	6’3″ 	260 lbs.
Terri Runnels 	5’0″ 	100 lbs.
Terry Funk 	6’1″ 	247 lbs.
Terry Gordy 	6’6″ 	298 lbs.
Tessa Blanchard 	5’5″ 	126 lbs.
Test 	6’6″ 	282 lbs.
Timothy Well 	5’11” 	240 lbs.
Tito Santana 	6’1″ 	244 lbs.
Titus O’Neil 	6’6″ 	270 lbs.
Tommaso Ciampa 	5’11” 	195 lbs.
Tommy Dreamer 	6’0″ 	260 lbs.
Toni Storm 	5’5″ 	143 lbs.
Tony Nese 	5’10” 	196 lbs.
Tori 	5’9″ 	140 lbs.
Torrie Wilson 	5’7″ 	133 lbs.
Travis Banks 	5’10” 	198 lbs.
Trent Barreta 	6’2″ 	194 lbs.
Trent Seven 	5’11” 	216 lbs.
Trevor Lee 	6’0″ 	215 lbs.
Triple H 	6’4″ 	255 lbs.
Trish Stratus 	5’4″ 	125 lbs.
Tucker 	5’8″ 	192 lbs.
Tugboat 	6’3″ 	384 lbs.
Tully Blanchard 	5’10” 	225 lbs.
Tyler Bate 	5’7″ 	175 lbs.
Tyler Breeze 	6’0″ 	206 lbs.
Tyler Mane 	6’9″ 	295 lbs.
Tyler Reks 	6’3″ 	252 lbs.
Tyson Kidd 	5’10” 	204 lbs.
Ultimate Warrior 	6’2″ 	275 lbs.
Uncle Elmer 	6’10” 	450 lbs.
Undertaker 	6’10” 	309 lbs.
Vader 	6’6″ 	452 lbs.
Val Venis 	6’2″ 	240 lbs.
Vanessa Borne 	5’4″ 	120 lbs.
Velvet Sky 	5’5″ 	125 lbs.
Velveteen Dream 	6’2″ 	227 lbs.
Vickie Guerrero 	5’4″ 	145 lbs.
Victoria 	5’7″ 	155 lbs.
Viktor 	6’2″ 	219 lbs.
Vince McMahon 	6’1″ 	248 lbs.
Vince Russo 	6’2″ 	190 lbs.
Virgil 	6’2″ 	250 lbs.
Viscera / Big Daddy V 	6’9″ 	487 lbs.
Vladimir Kozlov 	6’6″ 	298 lbs.
Wade Barrett 	6’7″ 	246 lbs.
Wendi Richter 	5’8″ 	140 lbs.
Will Ospreay 	6’1″ 	190 lbs.
William Regal 	6’2″ 	240 lbs.
Wolfgang 	6’1″ 	255 lbs.
Wrath 	6’6″ 	292 lbs.
